date,lower_95,median,upper_95,actual
2024-07-01,,,,118.3
2024-08-01,,,,118.54
2024-09-01,,,,120.28
2024-10-01,,,,120.01
2024-11-01,,,,120.57
2024-12-01,,,,120.26
2025-01-01,,,,119.45
2025-02-01,,,,120.22
2025-03-01,,,,120.5
2025-04-01,,,,120.56
2025-05-01,,,,120.35
2025-06-01,,,,120.13
2025-07-01,,,,120.06
2025-08-01,,,,118.67
2025-09-01,,,,118.78
2025-10-01,,,,120.34
2025-11-01,,,,120.6
2025-12-01,,,,120.59
2026-01-01,,,,119.26
2026-02-01,,,,118.85
2026-03-01,,,,120.04
2026-04-01,,,,119.23
2026-05-01,,,,119.99
2026-06-01,,,,120.28
2026-07-01,118.65949454660179,120.67660101186655,122.62932374069975,
2026-08-01,117.19173570329326,119.98561773738315,122.73532871168817,
2026-09-01,117.57536260703928,120.98493131970208,124.33829760642557,
2026-10-01,117.32455169531012,121.30166295134259,125.15783742425894,
2026-11-01,117.18702860029407,121.60637042939135,125.89811221442393,
2026-12-01,117.0389124216235,121.79437586262574,126.55204183275394,
2027-01-01,116.0668100722457,121.19469343247982,126.36998978388256,
2027-02-01,116.21486949477165,121.70283501527706,127.35343235726238,
2027-03-01,116.35418581552607,122.13966244001756,128.0462829432244,
2027-04-01,116.14460102456582,122.39064685699194,128.64096711922724,
2027-05-01,115.8634981719163,122.3895228019594,128.90425825220933,
2027-06-01,116.19598155810614,122.94592711071942,129.76876583566522,
2027-07-01,116.28460196009772,123.18380147039385,130.4187019911466,
2027-08-01,115.29007184735518,122.47599117522228,129.96089622956296,
2027-09-01,115.75540298109169,123.24684536478782,131.00329483039724,
2027-10-01,115.87881908604058,123.70185981909806,131.75360669109236,
2027-11-01,115.78083742270985,124.02707476795979,132.2840379595026,
2027-12-01,115.81097834513872,124.17942508759762,132.60762978518838,
