end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,0.6376793504578501,2.302061910006195,4.02320697080543,"[0, 2, 2]","[1, 0, 1, 12]",-87.69193581161103
2026-01-01,2026-01-01,0.547554820121054,2.399830833410178,4.2501752666526835,"[0, 2, 1]","[2, 0, 1, 12]",-87.55807055775225
2026-02-01,2026-02-01,0.6861854987252116,2.2503087620257602,3.8314065422112824,"[0, 2, 1]","[2, 0, 0, 12]",-86.06936002845265
2026-03-01,2026-03-01,2.2491732587633355,3.07180657560518,3.883470526725237,"[1, 2, 1]","[1, 0, 0, 12]",-96.67395563631021
2026-04-01,2026-04-01,2.318463739714036,2.986108827554567,3.6476313658620962,"[1, 2, 1]","[1, 0, 1, 12]",-101.3347984603385
2026-05-01,2026-04-01,2.318463739714036,2.986108827554567,3.6476313658620962,"[1, 2, 1]","[1, 0, 1, 12]",-101.3347984603385
2026-06-01,2026-04-01,2.318463739714036,2.986108827554567,3.6476313658620962,"[1, 2, 1]","[1, 0, 1, 12]",-101.3347984603385
2026-07-01,2026-04-01,2.318463739714036,2.986108827554567,3.6476313658620962,"[1, 2, 1]","[1, 0, 1, 12]",-101.3347984603385
2026-08-01,2026-04-01,2.318463739714036,2.986108827554567,3.6476313658620962,"[1, 2, 1]","[1, 0, 1, 12]",-101.3347984603385
2026-09-01,2026-04-01,2.318463739714036,2.986108827554567,3.6476313658620962,"[1, 2, 1]","[1, 0, 1, 12]",-101.3347984603385
2026-10-01,2026-04-01,2.318463739714036,2.986108827554567,3.6476313658620962,"[1, 2, 1]","[1, 0, 1, 12]",-101.3347984603385
2026-11-01,2026-04-01,2.318463739714036,2.986108827554567,3.6476313658620962,"[1, 2, 1]","[1, 0, 1, 12]",-101.3347984603385
