end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,2.608625845333307,4.032370509546425,5.447320785787372,"[0, 1, 0]","[0, 0, 0, 12]",306.96011251550317
2026-01-01,2026-01-01,2.7106097212294435,4.03773183037481,5.348533624096341,"[0, 1, 0]","[0, 0, 0, 12]",305.04495636095237
2026-02-01,2026-02-01,3.0020679921571465,4.261460390060414,5.486569321568652,"[0, 1, 0]","[0, 0, 0, 12]",305.78241640971765
2026-03-01,2026-03-01,3.034274010716244,4.178099720268953,5.315806073785367,"[0, 1, 0]","[0, 0, 0, 12]",305.58440519207306
2026-04-01,2026-04-01,3.0860858758859875,4.127738577621059,5.163494491278486,"[0, 1, 0]","[0, 0, 0, 12]",305.42197731983947
2026-05-01,2026-05-01,3.196947057963674,4.137714690658896,5.077943340561802,"[0, 1, 0]","[0, 0, 0, 12]",305.4248087798644
2026-06-01,2026-06-01,3.9161978355387856,4.750570685502986,5.573094283649917,"[0, 1, 0]","[0, 0, 0, 12]",309.5706095190452
2026-07-01,2026-07-01,4.150698752878792,4.8506832287301265,5.538609845042914,"[0, 1, 0]","[0, 0, 0, 12]",308.59402050133156
2026-08-01,2026-07-01,4.150698752878792,4.8506832287301265,5.538609845042914,"[0, 1, 0]","[0, 0, 0, 12]",308.59402050133156
2026-09-01,2026-07-01,4.150698752878792,4.8506832287301265,5.538609845042914,"[0, 1, 0]","[0, 0, 0, 12]",308.59402050133156
2026-10-01,2026-07-01,4.150698752878792,4.8506832287301265,5.538609845042914,"[0, 1, 0]","[0, 0, 0, 12]",308.59402050133156
2026-11-01,2026-07-01,4.150698752878792,4.8506832287301265,5.538609845042914,"[0, 1, 0]","[0, 0, 0, 12]",308.59402050133156
