end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-1.1311745958851136,0.07955931643737557,1.2898354111959882,"[1, 1, 0]","[1, 0, 1, 12]",290.68618263937475
2026-01-01,2026-01-01,-1.0226484751239422,0.1468609004162147,1.2681679448834815,"[1, 1, 0]","[1, 0, 1, 12]",289.2687908573541
2026-02-01,2026-02-01,-1.0369435557992155,0.026557040332363613,1.0900257194546394,"[1, 1, 0]","[1, 0, 1, 12]",289.6650655941076
2026-03-01,2026-03-01,-1.5711285654814495,-0.33734379986890417,0.8949627259715537,"[0, 1, 0]","[1, 0, 0, 12]",287.3952309770557
2026-04-01,2026-04-01,-1.2765584836630848,-0.18293687308957374,0.9562676094822237,"[0, 1, 0]","[1, 0, 0, 12]",285.8492051982322
2026-05-01,2026-05-01,-0.6801994669137243,0.27644434658814987,1.2462928288729676,"[2, 1, 0]","[1, 0, 1, 12]",285.13505296140494
2026-06-01,2026-06-01,-0.8261855590589224,-0.02437616544524701,0.7950881972220656,"[2, 1, 0]","[1, 0, 1, 12]",283.4904652256148
2026-07-01,2026-07-01,-0.621489353495469,0.04894068366691329,0.7194628861601486,"[2, 1, 0]","[1, 0, 1, 12]",283.51292513802554
2026-08-01,2026-07-01,-0.621489353495469,0.04894068366691329,0.7194628861601486,"[2, 1, 0]","[1, 0, 1, 12]",283.51292513802554
2026-09-01,2026-07-01,-0.621489353495469,0.04894068366691329,0.7194628861601486,"[2, 1, 0]","[1, 0, 1, 12]",283.51292513802554
2026-10-01,2026-07-01,-0.621489353495469,0.04894068366691329,0.7194628861601486,"[2, 1, 0]","[1, 0, 1, 12]",283.51292513802554
2026-11-01,2026-07-01,-0.621489353495469,0.04894068366691329,0.7194628861601486,"[2, 1, 0]","[1, 0, 1, 12]",283.51292513802554
