end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-2.5659760374417093,1.0104823425188059,4.706740072281503,"[0, 1, 1]","[0, 0, 0, 12]",414.58301091601925
2026-01-01,2026-01-01,-2.1022034796746327,1.170146784785274,4.580448147240251,"[0, 1, 1]","[0, 0, 0, 12]",408.32870025760917
2026-02-01,2026-02-01,-2.0936507794669685,0.9025822805450474,4.019963992014683,"[0, 1, 1]","[0, 0, 0, 12]",405.87763088807327
2026-03-01,2026-03-01,-1.3698561214658265,1.3314067890145154,4.137476882152437,"[0, 1, 1]","[0, 0, 0, 12]",405.6492198298941
2026-04-01,2026-04-01,-1.0456170810234655,1.2975466333661032,3.6904837384261304,"[0, 1, 1]","[0, 0, 0, 12]",401.19297991039144
2026-05-01,2026-05-01,-0.5074578262221117,1.5037413947480687,3.5164856315549384,"[0, 1, 1]","[0, 0, 0, 12]",399.85210024527674
2026-06-01,2026-05-01,-0.5074578262221117,1.5037413947480687,3.5164856315549384,"[0, 1, 1]","[0, 0, 0, 12]",399.85210024527674
2026-07-01,2026-05-01,-0.5074578262221117,1.5037413947480687,3.5164856315549384,"[0, 1, 1]","[0, 0, 0, 12]",399.85210024527674
2026-08-01,2026-05-01,-0.5074578262221117,1.5037413947480687,3.5164856315549384,"[0, 1, 1]","[0, 0, 0, 12]",399.85210024527674
2026-09-01,2026-05-01,-0.5074578262221117,1.5037413947480687,3.5164856315549384,"[0, 1, 1]","[0, 0, 0, 12]",399.85210024527674
2026-10-01,2026-05-01,-0.5074578262221117,1.5037413947480687,3.5164856315549384,"[0, 1, 1]","[0, 0, 0, 12]",399.85210024527674
2026-11-01,2026-05-01,-0.5074578262221117,1.5037413947480687,3.5164856315549384,"[0, 1, 1]","[0, 0, 0, 12]",399.85210024527674
