date,lower_95,median,upper_95,actual
2024-06-01,,,,118.31
2024-07-01,,,,118.3
2024-08-01,,,,118.54
2024-09-01,,,,120.28
2024-10-01,,,,120.01
2024-11-01,,,,120.57
2024-12-01,,,,120.26
2025-01-01,,,,119.45
2025-02-01,,,,120.22
2025-03-01,,,,120.5
2025-04-01,,,,120.56
2025-05-01,,,,120.35
2025-06-01,,,,120.13
2025-07-01,,,,120.06
2025-08-01,,,,118.67
2025-09-01,,,,118.78
2025-10-01,,,,120.34
2025-11-01,,,,120.6
2025-12-01,,,,120.59
2026-01-01,,,,119.26
2026-02-01,,,,118.85
2026-03-01,,,,120.04
2026-04-01,,,,119.23
2026-05-01,,,,119.99
2026-06-01,118.82717469906473,120.72338016673697,122.66426418547191,
2026-07-01,118.65833334552931,121.10200034444388,123.55628049215973,
2026-08-01,117.58195365946963,120.492092083919,123.39579959264213,
2026-09-01,118.20045736882089,121.46764308721495,124.7593251430152,
2026-10-01,118.08025436489524,121.75864849920887,125.44313046411557,
2026-11-01,118.11580063795729,122.08092382150464,126.06370953589332,
2026-12-01,118.03635061392494,122.30078152595343,126.6531002619609,
2027-01-01,117.17842911139637,121.71131716832225,126.32462241501425,
2027-02-01,117.33873050930794,122.2610475936215,127.09901003895277,
2027-03-01,117.54426588812429,122.67627497693857,127.73465253331236,
2027-04-01,117.48942164381823,122.9135776691863,128.17973596894367,
2027-05-01,117.29286226196213,122.9339757918572,128.44844619285783,
2027-06-01,117.69711561692984,123.49431027788779,129.28858707344017,
2027-07-01,117.65560139339063,123.70979789687453,129.74175635618516,
2027-08-01,116.80680992373959,123.07570483097906,129.29881767917885,
2027-09-01,117.31683861235831,123.78826296320322,130.1994473300096,
2027-10-01,117.5755916751393,124.21926926355354,130.97774927344787,
2027-11-01,117.6609515316476,124.50664536834668,131.39970223827243,
2027-12-01,117.63589868914339,124.69251595267599,131.70784944276642,
2028-01-01,116.70704191598873,123.954958505362,131.11666890951201,
