date,lower_95,median,upper_95,actual
2024-06-01,,,,114.64
2024-07-01,,,,114.73
2024-08-01,,,,115.3
2024-09-01,,,,116.29
2024-10-01,,,,116.58
2024-11-01,,,,117.03
2024-12-01,,,,117.04
2025-01-01,,,,117.33
2025-02-01,,,,118.13
2025-03-01,,,,118.38
2025-04-01,,,,118.99
2025-05-01,,,,119.74
2025-06-01,,,,119.84
2025-07-01,,,,120.44
2025-08-01,,,,121.88
2025-09-01,,,,122.74
2025-10-01,,,,122.9
2025-11-01,,,,123.17
2025-12-01,,,,122.87
2026-01-01,,,,123.11
2026-02-01,,,,123.18
2026-03-01,,,,123.21
2026-04-01,,,,122.64
2026-05-01,,,,122.83
2026-06-01,121.87897777478781,123.15331946727517,124.4192303176252,
2026-07-01,121.28939583388151,123.4037780438997,125.5359984864635,
2026-08-01,120.95149165550394,123.67334484354313,126.38089738154484,
2026-09-01,120.72348805578783,123.93096392483153,127.16582400438435,
2026-10-01,120.52931226920664,124.13987512454666,127.83782959005201,
2026-11-01,120.33696206396417,124.38744356364117,128.52651982484892,
2026-12-01,120.27478530456943,124.62471815970582,129.11655413460176,
2027-01-01,120.19943869726035,124.86748487557006,129.65206772823552,
2027-02-01,120.14736767263952,125.10421200518851,130.16033599769483,
2027-03-01,120.07514422320601,125.32188939982032,130.60015765165542,
2027-04-01,120.05084335688038,125.55306974043133,131.19599729259986,
2027-05-01,119.98901260581191,125.86645605144926,131.71181661321236,
2027-06-01,120.03429981653177,126.1560391451035,132.11114818158873,
2027-07-01,119.99893677810786,126.39960489920587,132.56394009308443,
2027-08-01,120.10098434973115,126.67523403415404,133.13838074997287,
2027-09-01,120.11371972277986,126.92430161338027,133.61764102788825,
2027-10-01,120.14658259931028,127.16472636616822,134.08927882087488,
2027-11-01,120.177369699509,127.39460505827469,134.4879051212967,
