end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-13.299608015303921,-3.3426724852548944,6.690115712599101,"[2, 1, 2]","[0, 0, 0, 12]",1065.603578762172
2026-01-01,2026-01-01,-13.441454220501452,-3.5680859295331118,6.238763915351047,"[2, 1, 2]","[0, 0, 0, 12]",1065.619451233824
2026-02-01,2026-02-01,-34.40852135153586,-7.8056344693916415,18.815697881497744,"[0, 1, 1]","[1, 0, 1, 12]",1081.5535967636447
2026-03-01,2026-03-01,-29.760492262683027,-5.293606872072395,18.247763418241124,"[0, 1, 1]","[1, 0, 1, 12]",1081.6967878111175
2026-04-01,2026-04-01,-9.622329075171539,-1.0794433272463024,7.452006854605591,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
2026-05-01,2026-05-01,-9.417447269468846,-1.2389239743799791,6.695493504632217,"[2, 1, 1]","[1, 0, 1, 12]",1060.467016135052
2026-06-01,2026-05-01,-9.417447269468846,-1.2389239743799791,6.695493504632217,"[2, 1, 1]","[1, 0, 1, 12]",1060.467016135052
2026-07-01,2026-05-01,-9.417447269468846,-1.2389239743799791,6.695493504632217,"[2, 1, 1]","[1, 0, 1, 12]",1060.467016135052
2026-08-01,2026-05-01,-9.417447269468846,-1.2389239743799791,6.695493504632217,"[2, 1, 1]","[1, 0, 1, 12]",1060.467016135052
2026-09-01,2026-05-01,-9.417447269468846,-1.2389239743799791,6.695493504632217,"[2, 1, 1]","[1, 0, 1, 12]",1060.467016135052
2026-10-01,2026-05-01,-9.417447269468846,-1.2389239743799791,6.695493504632217,"[2, 1, 1]","[1, 0, 1, 12]",1060.467016135052
2026-11-01,2026-05-01,-9.417447269468846,-1.2389239743799791,6.695493504632217,"[2, 1, 1]","[1, 0, 1, 12]",1060.467016135052
