date,lower_95,median,upper_95,actual
2024-05-01,,,,47.508
2024-06-01,,,,46.446
2024-07-01,,,,45.275999999999996
2024-08-01,,,,46.565999999999995
2024-09-01,,,,45.504
2024-10-01,,,,42.27
2024-11-01,,,,42.18
2024-12-01,,,,41.04
2025-01-01,,,,39.876
2025-02-01,,,,39.42
2025-03-01,,,,40.577999999999996
2025-04-01,,,,43.104
2025-05-01,,,,41.418
2025-06-01,,,,40.85999999999999
2025-07-01,,,,42.492
2025-08-01,,,,45.804
2025-09-01,,,,45.318
2025-10-01,,,,44.532
2025-11-01,,,,44.412
2025-12-01,,,,43.181999999999995
2026-01-01,,,,44.064
2026-02-01,,,,44.502
2026-03-01,,,,43.242
2026-04-01,,,,44.412
2026-05-01,41.74714163195022,44.937214562918086,48.14853348869574,
2026-06-01,39.599595231512225,44.959291929660836,50.21206688236736,
2026-07-01,38.12482984024448,44.94026361963566,51.77196068987212,
2026-08-01,36.95750663250004,44.90576781843424,53.06639699893759,
2026-09-01,35.93252284024141,44.85589515083598,53.999669512215185,
2026-10-01,34.86979054892749,44.825473724942654,55.23954365360767,
2026-11-01,34.13260079788144,44.8387472061449,55.883361669829576,
2026-12-01,33.33631778424752,44.826296382574085,56.751381620024745,
2027-01-01,32.73973417384939,44.78935618512891,57.243869736965216,
2027-02-01,31.920173613584375,44.738552003954055,57.91277796103513,
2027-03-01,31.185398389046707,44.75384292338871,58.753349878698344,
2027-04-01,30.397445225718535,44.711858874097985,59.39720706381183,
2027-05-01,29.86705810102506,44.80883672783479,60.09294525651958,
2027-06-01,29.10837586145153,44.814750824692524,60.57488220095399,
2027-07-01,28.67922442738661,44.75877752050668,61.09116436535314,
2027-08-01,28.099449052056052,44.800531061678285,61.73937242705529,
2027-09-01,27.683028437900997,44.79772568951451,62.14694115273322,
2027-10-01,27.07192378894206,44.80535309910101,62.66329423383065,
