date,lower_95,median,upper_95,actual
2024-08-01,,,,115.27
2024-09-01,,,,115.74
2024-10-01,,,,116.39
2024-11-01,,,,117.19
2024-12-01,,,,116.91
2025-01-01,,,,116.43
2025-02-01,,,,116.7
2025-03-01,,,,116.98
2025-04-01,,,,116.49
2025-05-01,,,,116.27
2025-06-01,,,,116.0
2025-07-01,,,,116.41
2025-08-01,,,,118.92
2025-09-01,,,,118.79
2025-10-01,,,,118.72
2025-11-01,,,,118.91
2025-12-01,,,,118.37
2026-01-01,,,,117.78
2026-02-01,,,,116.95
2026-03-01,,,,116.72
2026-04-01,,,,117.16
2026-05-01,,,,117.84
2026-06-01,,,,118.08
2026-07-01,,,,119.31
2026-08-01,119.01622690464805,120.69706622114691,122.43273028963732,
2026-09-01,118.2788526123887,120.87670848639404,123.57037756800256,
2026-10-01,118.14683688389432,121.1727457697186,124.24269710010381,
2026-11-01,117.71889243246743,121.18364864515536,124.52389915702543,
2026-12-01,117.14733473932424,120.86642962510487,124.57924354338277,
2027-01-01,116.71079638150862,120.68117883009423,124.70448927927224,
2027-02-01,116.23003703766857,120.55167590830281,124.86042518063019,
2027-03-01,115.96611023322487,120.56514154929854,125.14137047491869,
2027-04-01,115.83715221915027,120.69361288389916,125.49256451340212,
2027-05-01,116.00238648629282,121.089768454085,126.09940703839119,
2027-06-01,115.87308309570366,121.20906292465524,126.43941480804602,
2027-07-01,115.94916834545266,121.4710744222783,127.05448312141986,
2027-08-01,116.92876621444526,122.66915773319411,128.3919975809005,
2027-09-01,117.0881004944683,123.15720936835726,129.0572530403914,
2027-10-01,117.12915891172096,123.4041252151925,129.6973820435864,
2027-11-01,116.81118943369471,123.39599297101415,130.08327037209125,
2027-12-01,116.35609040632671,123.13218261641845,129.9662521659574,
2028-01-01,115.83327079316679,122.94504304230236,130.13403710252996,
