end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-0.24148826097618142,1.3641509929273852,2.9986687845207345,"[0, 1, 2]","[1, 0, 1, 12]",403.1021538170478
2026-01-01,2026-01-01,-0.3369786030437481,1.2400210467911066,2.813023715352373,"[0, 1, 2]","[1, 0, 1, 12]",402.94263268211967
2026-02-01,2026-02-01,-0.5245696766778074,0.9450174051670714,2.414755143531442,"[0, 1, 2]","[1, 0, 1, 12]",401.0775940440943
2026-03-01,2026-03-01,-0.48950816773948946,0.8589727718678262,2.241195885880815,"[0, 1, 2]","[1, 0, 1, 12]",401.1489611418017
2026-04-01,2026-04-01,-0.3443810765378707,0.8951717473728067,2.186519648090828,"[0, 1, 2]","[1, 0, 1, 12]",400.8336521769404
2026-05-01,2026-05-01,-0.17582039334272925,0.9724042592655238,2.1315520989391206,"[0, 1, 2]","[1, 0, 1, 12]",400.89878751872766
2026-06-01,2026-06-01,-0.009995031704513116,1.0159075138410643,2.058057973721206,"[0, 1, 2]","[1, 0, 1, 12]",400.4218271424525
2026-07-01,2026-07-01,0.4995250738044678,1.3979751605266912,2.2846877181741077,"[0, 1, 2]","[1, 0, 1, 12]",400.82437750126576
2026-08-01,2026-07-01,0.4995250738044678,1.3979751605266912,2.2846877181741077,"[0, 1, 2]","[1, 0, 1, 12]",400.82437750126576
2026-09-01,2026-07-01,0.4995250738044678,1.3979751605266912,2.2846877181741077,"[0, 1, 2]","[1, 0, 1, 12]",400.82437750126576
2026-10-01,2026-07-01,0.4995250738044678,1.3979751605266912,2.2846877181741077,"[0, 1, 2]","[1, 0, 1, 12]",400.82437750126576
2026-11-01,2026-07-01,0.4995250738044678,1.3979751605266912,2.2846877181741077,"[0, 1, 2]","[1, 0, 1, 12]",400.82437750126576
