date,lower_95,median,upper_95,actual
2024-07-01,,,,113.13
2024-08-01,,,,115.27
2024-09-01,,,,115.74
2024-10-01,,,,116.39
2024-11-01,,,,117.19
2024-12-01,,,,116.91
2025-01-01,,,,116.43
2025-02-01,,,,116.7
2025-03-01,,,,116.98
2025-04-01,,,,116.49
2025-05-01,,,,116.27
2025-06-01,,,,116.0
2025-07-01,,,,116.41
2025-08-01,,,,118.92
2025-09-01,,,,118.79
2025-10-01,,,,118.72
2025-11-01,,,,118.91
2025-12-01,,,,118.37
2026-01-01,,,,117.78
2026-02-01,,,,116.95
2026-03-01,,,,116.72
2026-04-01,,,,117.16
2026-05-01,,,,117.84
2026-06-01,,,,118.07
2026-07-01,116.39574179702271,118.07388366249211,119.7994812651037,
2026-08-01,116.7359668393188,119.2995637294747,121.94649597332706,
2026-09-01,116.93114646090854,119.89822882343545,122.90488083905383,
2026-10-01,116.8294561826194,120.21444701722407,123.48406604728928,
2026-11-01,116.54352842491518,120.16861474984036,123.79552758571913,
2026-12-01,115.97109231171412,119.84867208536818,123.76470886983412,
2027-01-01,115.44289522033137,119.65339538903075,123.85664219894862,
2027-02-01,115.09716468644528,119.56933135423284,124.02124618797441,
2027-03-01,114.83754733941343,119.56681471844392,124.22228981912403,
2027-04-01,114.76915818186848,119.70647208246623,124.58525286243199,
2027-05-01,114.89394498136207,120.08545005450628,125.15792671086416,
2027-06-01,114.83117936028898,120.19895818735688,125.63082965204535,
2027-07-01,114.6601109573901,120.24931850808974,125.80822786285528,
2027-08-01,115.60074105697214,121.50050760200679,127.2197764088306,
2027-09-01,115.96356186975457,122.03174641321209,128.13725681350363,
2027-10-01,115.95125529369346,122.32277330387606,128.77929183049835,
2027-11-01,115.76012376850721,122.31383522423545,128.94588589563384,
2027-12-01,115.12976967951677,121.9936472639688,128.93026018262117,
