end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-19.594298827771524,-2.96699837607801,13.756046850693862,"[0, 1, 1]","[0, 0, 0, 12]",871.7964446128839
2026-01-01,2026-01-01,-22.17442652282199,-6.679503020684912,8.834562626578585,"[0, 1, 1]","[0, 0, 0, 12]",872.755397845376
2026-02-01,2026-02-01,-23.554099265355568,-9.48434340088862,4.455290874293707,"[0, 1, 1]","[0, 0, 0, 12]",872.5176080587756
2026-03-01,2026-03-01,-28.236470916608653,-15.191880980803816,-2.1966228545628335,"[0, 1, 1]","[0, 0, 0, 12]",874.6678761125427
2026-04-01,2026-04-01,-24.21776028479432,-13.05495033341677,-1.8145318997840325,"[0, 1, 1]","[0, 0, 0, 12]",875.0511867558063
2026-05-01,2026-04-01,-24.21776028479432,-13.05495033341677,-1.8145318997840325,"[0, 1, 1]","[0, 0, 0, 12]",875.0511867558063
2026-06-01,2026-04-01,-24.21776028479432,-13.05495033341677,-1.8145318997840325,"[0, 1, 1]","[0, 0, 0, 12]",875.0511867558063
2026-07-01,2026-04-01,-24.21776028479432,-13.05495033341677,-1.8145318997840325,"[0, 1, 1]","[0, 0, 0, 12]",875.0511867558063
2026-08-01,2026-04-01,-24.21776028479432,-13.05495033341677,-1.8145318997840325,"[0, 1, 1]","[0, 0, 0, 12]",875.0511867558063
2026-09-01,2026-04-01,-24.21776028479432,-13.05495033341677,-1.8145318997840325,"[0, 1, 1]","[0, 0, 0, 12]",875.0511867558063
2026-10-01,2026-04-01,-24.21776028479432,-13.05495033341677,-1.8145318997840325,"[0, 1, 1]","[0, 0, 0, 12]",875.0511867558063
2026-11-01,2026-04-01,-24.21776028479432,-13.05495033341677,-1.8145318997840325,"[0, 1, 1]","[0, 0, 0, 12]",875.0511867558063
