end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-13.736819016558716,-2.7658879089331023,8.150506706443263,"[2, 1, 2]","[0, 0, 0, 12]",1065.603578762172
2026-01-01,2026-01-01,-13.821046541542616,-3.020038387453411,7.606267545013542,"[2, 1, 2]","[0, 0, 0, 12]",1065.619451233824
2026-02-01,2026-02-01,-37.105749227998466,-8.439358697340815,19.966785438550996,"[0, 1, 1]","[1, 0, 1, 12]",1081.5535967636447
2026-03-01,2026-03-01,-31.648530318873586,-5.6534636265564515,19.13586033057852,"[0, 1, 1]","[1, 0, 1, 12]",1081.6967878111175
2026-04-01,2026-04-01,-10.018832450424787,-1.0254076828968266,8.047244530375261,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
2026-05-01,2026-04-01,-10.018832450424787,-1.0254076828968266,8.047244530375261,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
2026-06-01,2026-04-01,-10.018832450424787,-1.0254076828968266,8.047244530375261,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
2026-07-01,2026-04-01,-10.018832450424787,-1.0254076828968266,8.047244530375261,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
2026-08-01,2026-04-01,-10.018832450424787,-1.0254076828968266,8.047244530375261,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
2026-09-01,2026-04-01,-10.018832450424787,-1.0254076828968266,8.047244530375261,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
2026-10-01,2026-04-01,-10.018832450424787,-1.0254076828968266,8.047244530375261,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
2026-11-01,2026-04-01,-10.018832450424787,-1.0254076828968266,8.047244530375261,"[2, 1, 1]","[1, 0, 1, 12]",1060.7800303941362
