end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-3.6827301771802623,-0.1294708535465361,3.406832405645766,"[0, 1, 0]","[1, 0, 1, 12]",464.18874052286674
2026-01-01,2026-01-01,-3.0041167145073504,0.2961881713420311,3.578627090203575,"[0, 1, 0]","[1, 0, 1, 12]",463.05832849369517
2026-02-01,2026-02-01,-3.0910518658344466,-0.07477862263291257,2.930195348947123,"[0, 1, 0]","[1, 0, 1, 12]",462.8956465371293
2026-03-01,2026-03-01,-2.744600013477684,0.03637895429896787,2.824532993615236,"[0, 1, 0]","[1, 0, 1, 12]",462.8527851187381
2026-04-01,2026-04-01,-2.736996808747973,-0.2918490593402936,2.1524190790165227,"[0, 1, 0]","[1, 0, 1, 12]",459.12049087795356
2026-05-01,2026-05-01,-2.093392638417698,-0.010965824459745477,2.092479765284994,"[0, 1, 0]","[1, 0, 1, 12]",459.2333778318281
2026-06-01,2026-05-01,-2.093392638417698,-0.010965824459745477,2.092479765284994,"[0, 1, 0]","[1, 0, 1, 12]",459.2333778318281
2026-07-01,2026-05-01,-2.093392638417698,-0.010965824459745477,2.092479765284994,"[0, 1, 0]","[1, 0, 1, 12]",459.2333778318281
2026-08-01,2026-05-01,-2.093392638417698,-0.010965824459745477,2.092479765284994,"[0, 1, 0]","[1, 0, 1, 12]",459.2333778318281
2026-09-01,2026-05-01,-2.093392638417698,-0.010965824459745477,2.092479765284994,"[0, 1, 0]","[1, 0, 1, 12]",459.2333778318281
2026-10-01,2026-05-01,-2.093392638417698,-0.010965824459745477,2.092479765284994,"[0, 1, 0]","[1, 0, 1, 12]",459.2333778318281
2026-11-01,2026-05-01,-2.093392638417698,-0.010965824459745477,2.092479765284994,"[0, 1, 0]","[1, 0, 1, 12]",459.2333778318281
