date,lower_95,median,upper_95,actual
2024-07-01,,,,110.27
2024-08-01,,,,110.51
2024-09-01,,,,111.63
2024-10-01,,,,111.78
2024-11-01,,,,112.36
2024-12-01,,,,112.94
2025-01-01,,,,112.24
2025-02-01,,,,112.89
2025-03-01,,,,113.07
2025-04-01,,,,113.08
2025-05-01,,,,113.92
2025-06-01,,,,113.91
2025-07-01,,,,113.9
2025-08-01,,,,113.68
2025-09-01,,,,113.59
2025-10-01,,,,113.75
2025-11-01,,,,114.3
2025-12-01,,,,114.58
2026-01-01,,,,114.85
2026-02-01,,,,114.52
2026-03-01,,,,115.01
2026-04-01,,,,115.15
2026-05-01,,,,115.41
2026-06-01,,,,115.37
2026-07-01,113.49277230417648,115.3382025446625,117.19592283510256,
2026-08-01,112.27924562840832,115.35303033838981,118.36207728660733,
2026-09-01,111.44085547465659,115.33789178418459,119.24735091873835,
2026-10-01,110.77517147461334,115.32396882719479,119.98752366777535,
2026-11-01,110.19390984588841,115.29214023026299,120.523800126116,
2026-12-01,109.58973714813365,115.2761563447837,121.22940972607705,
2027-01-01,109.17937299202761,115.28237500731936,121.60616828932481,
2027-02-01,108.72077185572948,115.27474504724509,122.08395828132574,
2027-03-01,108.37124876776342,115.25579417828925,122.35545826125099,
2027-04-01,107.91298494614564,115.22484662215717,122.74685659004514,
2027-05-01,107.47965223620086,115.23349814480122,123.23121865615674,
2027-06-01,107.0380681041245,115.21542186385585,123.58122506142085,
2027-07-01,106.72595816758562,115.26484226719585,123.99248298241663,
2027-08-01,106.295430110732,115.26416666610316,124.27044997453831,
2027-09-01,106.06087408572002,115.2407225332053,124.54972607924832,
2027-10-01,105.73288392663504,115.26211765456516,124.93799886440347,
2027-11-01,105.49031090184957,115.26223767830412,125.15057226529802,
2027-12-01,105.14727403414567,115.25895030428755,125.4523551658954,
