end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-8.250542451885526,7.737390502958938,23.62196119063953,"[0, 1, 0]","[1, 0, 1, 12]",922.0592790075648
2026-01-01,2026-01-01,-7.9081625187420626,6.878509798828752,21.54204758569887,"[0, 1, 0]","[1, 0, 1, 12]",922.0773227280998
2026-02-01,2026-02-01,-2.4588652768468178,11.369882801362913,25.067043128764965,"[0, 1, 0]","[1, 0, 1, 12]",921.8906594734605
2026-03-01,2026-03-01,-8.59264138638244,4.067035577704196,16.765771876661805,"[0, 1, 0]","[1, 0, 1, 12]",927.2548402028236
2026-04-01,2026-04-01,-8.523027801038438,2.6659087547750815,14.127751978180507,"[0, 1, 0]","[1, 0, 1, 12]",927.059000136975
2026-05-01,2026-05-01,-5.032997505855975,4.503812009581921,14.318086967606966,"[0, 1, 0]","[1, 0, 1, 12]",926.7114548925334
2026-06-01,2026-05-01,-5.032997505855975,4.503812009581921,14.318086967606966,"[0, 1, 0]","[1, 0, 1, 12]",926.7114548925334
2026-07-01,2026-05-01,-5.032997505855975,4.503812009581921,14.318086967606966,"[0, 1, 0]","[1, 0, 1, 12]",926.7114548925334
2026-08-01,2026-05-01,-5.032997505855975,4.503812009581921,14.318086967606966,"[0, 1, 0]","[1, 0, 1, 12]",926.7114548925334
2026-09-01,2026-05-01,-5.032997505855975,4.503812009581921,14.318086967606966,"[0, 1, 0]","[1, 0, 1, 12]",926.7114548925334
2026-10-01,2026-05-01,-5.032997505855975,4.503812009581921,14.318086967606966,"[0, 1, 0]","[1, 0, 1, 12]",926.7114548925334
2026-11-01,2026-05-01,-5.032997505855975,4.503812009581921,14.318086967606966,"[0, 1, 0]","[1, 0, 1, 12]",926.7114548925334
