date,lower_95,median,upper_95,actual
2024-05-01,,,,114.52
2024-06-01,,,,114.19
2024-07-01,,,,112.44
2024-08-01,,,,114.38
2024-09-01,,,,114.74
2024-10-01,,,,116.27
2024-11-01,,,,116.84
2024-12-01,,,,116.59
2025-01-01,,,,117.4
2025-02-01,,,,118.33
2025-03-01,,,,119.61
2025-04-01,,,,119.93
2025-05-01,,,,120.22
2025-06-01,,,,121.08
2025-07-01,,,,120.59
2025-08-01,,,,122.42
2025-09-01,,,,122.68
2025-10-01,,,,122.72
2025-11-01,,,,123.14
2025-12-01,,,,123.26
2026-01-01,,,,123.54
2026-02-01,,,,124.48
2026-03-01,,,,124.61
2026-04-01,,,,124.8
2026-05-01,123.79715075878616,125.11112957150232,126.46000393032037,
2026-06-01,123.56269310766297,125.44284358790547,127.33441113231471,
2026-07-01,123.45986737488433,125.74130024981275,128.04294845992465,
2026-08-01,123.47842486586222,126.07222208730829,128.72025176921093,
2026-09-01,123.40560281872021,126.39173062242483,129.35690538761546,
2026-10-01,123.4777117458335,126.72490809006678,129.978639908643,
2026-11-01,123.60622733807654,127.04864871665296,130.58594365767377,
2026-12-01,123.69263645883707,127.38719671959547,131.095131196345,
2027-01-01,123.72148015766321,127.7079060336003,131.6817893050188,
2027-02-01,123.89388158241742,128.02938383303322,132.16942581941876,
2027-03-01,124.01172582630836,128.3390423021744,132.67233774905458,
2027-04-01,124.11281401586784,128.6492136476856,133.23332335903092,
2027-05-01,124.25537824543505,128.97572738036916,133.80751401099207,
2027-06-01,124.30532411484793,129.31787169914358,134.25491254398983,
2027-07-01,124.41363097580671,129.62077695309054,134.7485978470135,
2027-08-01,124.5616935867701,129.94031796135306,135.28215993384325,
2027-09-01,124.834644681592,130.25168066040771,135.69482134337994,
2027-10-01,125.03838418411739,130.56301040367683,136.2451804381399,
2027-11-01,125.07040857914018,130.9147044227961,136.68801444811552,
2027-12-01,125.26851870214439,131.21655165394503,137.1573516010122,
