date,lower_95,median,upper_95,actual
2024-08-01,,,,114.21
2024-09-01,,,,114.48
2024-10-01,,,,114.61
2024-11-01,,,,114.83
2024-12-01,,,,115.15
2025-01-01,,,,115.73
2025-02-01,,,,116.24
2025-03-01,,,,116.61
2025-04-01,,,,117.09
2025-05-01,,,,117.42
2025-06-01,,,,117.56
2025-07-01,,,,117.9
2025-08-01,,,,118.03
2025-09-01,,,,118.4
2025-10-01,,,,118.67
2025-11-01,,,,118.85
2025-12-01,,,,118.91
2026-01-01,,,,119.3
2026-02-01,,,,119.51
2026-03-01,,,,120.02
2026-04-01,,,,120.46
2026-05-01,,,,120.93
2026-06-01,,,,121.11
2026-07-01,,,,121.5
2026-08-01,121.53911812865807,121.84627604718978,122.16043029042781,
2026-09-01,121.60214603175079,122.20791762598779,122.828693376974,
2026-10-01,121.58642102976887,122.5421252029611,123.51112354682301,
2026-11-01,121.51728625512169,122.88574879761666,124.24011515932253,
2026-12-01,121.45944658854528,123.25150919055869,125.05110290887676,
2027-01-01,121.51903046931838,123.77982168637502,126.06922255091337,
2027-02-01,121.47218933527726,124.25311262205199,127.03874903245911,
2027-03-01,121.38174116725816,124.68909237981202,128.00519138012638,
2027-04-01,121.27765148428924,125.14975481589579,129.0218323885332,
2027-05-01,121.07499586629531,125.55117857260433,130.0396419102591,
2027-06-01,120.74335727304614,125.85144831263008,130.98079701706837,
2027-07-01,120.49686944084195,126.24891700143615,132.01044027220428,
2027-08-01,120.13374351057165,126.61923485557907,132.99727726811201,
2027-09-01,119.7674329618997,127.00972179648937,134.11267889961928,
2027-10-01,119.34648928359782,127.38385778336061,135.25940155756925,
2027-11-01,118.9172443872648,127.76336271761716,136.41197092836018,
2027-12-01,118.47385742629957,128.13082488519535,137.5795495398164,
2028-01-01,118.11801823518044,128.6832178508224,138.98406363994144,
