date,lower_95,median,upper_95,actual
2024-06-01,,,,112.83
2024-07-01,,,,113.13
2024-08-01,,,,115.27
2024-09-01,,,,115.74
2024-10-01,,,,116.39
2024-11-01,,,,117.19
2024-12-01,,,,116.91
2025-01-01,,,,116.43
2025-02-01,,,,116.7
2025-03-01,,,,116.98
2025-04-01,,,,116.49
2025-05-01,,,,116.27
2025-06-01,,,,116.0
2025-07-01,,,,116.41
2025-08-01,,,,118.92
2025-09-01,,,,118.79
2025-10-01,,,,118.72
2025-11-01,,,,118.91
2025-12-01,,,,118.37
2026-01-01,,,,117.78
2026-02-01,,,,116.95
2026-03-01,,,,116.72
2026-04-01,,,,117.16
2026-05-01,,,,117.85
2026-06-01,116.27308691921728,117.94981149132643,119.68123712413953,
2026-07-01,115.37328317050468,117.94631211724953,120.52102566112899,
2026-08-01,116.25495426339614,119.22753081735772,122.14980030761951,
2026-09-01,116.47501197343335,119.78886326074587,123.07719531563518,
2026-10-01,116.41911972097877,120.10384626137447,123.72917615008062,
2026-11-01,116.11249217891985,120.08110793675236,124.07076011197725,
2026-12-01,115.53384820396275,119.76607068717323,123.95285377773564,
2027-01-01,115.12729390119877,119.62928028898219,124.05884115104983,
2027-02-01,114.76116694720862,119.50316222682649,124.22421767056919,
2027-03-01,114.50691366556157,119.44946620797273,124.32083455383295,
2027-04-01,114.4796414828728,119.57937548779346,124.71354312838876,
2027-05-01,114.60933184119375,119.98573303206649,125.29314472356138,
2027-06-01,114.37623837083565,120.07467619461274,125.68855233066418,
2027-07-01,114.06055650246559,120.12692342515672,126.0566289528739,
2027-08-01,115.07412009356551,121.34141588302973,127.49364149172246,
2027-09-01,115.39300163200011,121.87811931259162,128.3046888872524,
2027-10-01,115.46630283245003,122.16548458242055,128.87430947280663,
2027-11-01,115.1826006130926,122.14032867372175,129.0272598715188,
2027-12-01,114.78116272016177,121.85715364295588,128.9960753362758,
2028-01-01,114.34130222999987,121.66303257947963,129.0551026117099,
