end_date,effective_end,lower_95,median,upper_95,order,seasonal_order,bic
2025-12-01,2025-12-01,-19.414707073924586,-4.430371443075934,11.082414065025604,"[0, 1, 1]","[0, 0, 0, 12]",871.7964446128839
2026-01-01,2026-01-01,-21.475952250210298,-7.615485386045229,6.824975420037714,"[0, 1, 1]","[0, 0, 0, 12]",872.755397845376
2026-02-01,2026-02-01,-23.270818480779393,-10.088384221641249,3.2281311497819454,"[0, 1, 1]","[0, 0, 0, 12]",872.5176080587756
2026-03-01,2026-03-01,-26.934443865518297,-14.997153475628714,-2.6256945707620365,"[0, 1, 1]","[0, 0, 0, 12]",874.6678761125427
2026-04-01,2026-04-01,-23.746895410027026,-13.173748677807765,-2.38369168026268,"[0, 1, 1]","[0, 0, 0, 12]",875.0235228899281
2026-05-01,2026-05-01,-21.424320622560337,-12.581833493862405,-3.5899635768928184,"[0, 1, 1]","[0, 0, 0, 12]",871.5180328458526
2026-06-01,2026-05-01,-21.424320622560337,-12.581833493862405,-3.5899635768928184,"[0, 1, 1]","[0, 0, 0, 12]",871.5180328458526
2026-07-01,2026-05-01,-21.424320622560337,-12.581833493862405,-3.5899635768928184,"[0, 1, 1]","[0, 0, 0, 12]",871.5180328458526
2026-08-01,2026-05-01,-21.424320622560337,-12.581833493862405,-3.5899635768928184,"[0, 1, 1]","[0, 0, 0, 12]",871.5180328458526
2026-09-01,2026-05-01,-21.424320622560337,-12.581833493862405,-3.5899635768928184,"[0, 1, 1]","[0, 0, 0, 12]",871.5180328458526
2026-10-01,2026-05-01,-21.424320622560337,-12.581833493862405,-3.5899635768928184,"[0, 1, 1]","[0, 0, 0, 12]",871.5180328458526
2026-11-01,2026-05-01,-21.424320622560337,-12.581833493862405,-3.5899635768928184,"[0, 1, 1]","[0, 0, 0, 12]",871.5180328458526
